MsgID.LOCAL_POSITION,32.0370000,0.0486639,0.1715741,-0.0831954
MsgID.LOCAL_VELOCITY,32.0370000,0.0000032,0.0000004,0.0000219
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924809,0.0830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.2870000,0.0669592,0.2873688,-0.0855092
MsgID.LOCAL_VELOCITY,32.2870000,-0.0000054,-0.0000012,0.0000137
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924810,0.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.5370000,-0.1216540,0.2934645,-0.0910345
MsgID.LOCAL_VELOCITY,32.5370000,-0.0000094,-0.0000200,0.0000199
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924793,0.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.7870000,-0.1434761,0.2692186,-0.1001176
MsgID.LOCAL_VELOCITY,32.7870000,0.0000149,-0.0000006,0.0000221
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924791,0.1000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,33.0370000,-0.1104149,0.1380709,-0.1098240
MsgID.LOCAL_VELOCITY,33.0370000,0.0000074,0.0000012,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924794,0.1090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.2870000,-0.2041532,0.1430576,-0.1178935
MsgID.LOCAL_VELOCITY,33.2870000,-0.0000170,0.0000008,0.0000198
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924786,0.1170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.5370000,-0.0705541,0.2897035,-0.1199607
MsgID.LOCAL_VELOCITY,33.5370000,-0.0000073,0.0000033,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924798,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.7870000,0.0738716,0.4029666,-0.1133917
MsgID.LOCAL_VELOCITY,33.7870000,0.0000133,0.0000122,0.0000174
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924811,0.1130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,34.0370000,0.0212479,0.4768091,-0.0977077
MsgID.LOCAL_VELOCITY,34.0370000,-0.0000037,-0.0000148,0.0000185
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924806,0.0970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.2870000,-0.1824681,0.3200396,-0.0717033
MsgID.LOCAL_VELOCITY,34.2870000,0.0000062,-0.0000008,0.0000173
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924788,0.0710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.5370000,-0.0939047,0.2649743,-0.0407254
MsgID.LOCAL_VELOCITY,34.5370000,-0.0000085,-0.0000177,0.0000165
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924796,0.0400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.7870000,-0.0513417,0.2934644,-0.0053505
MsgID.LOCAL_VELOCITY,34.7870000,0.0000065,-0.0000061,0.0000145
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924800,0.0050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,35.0380000,0.0025229,0.2970212,0.0268385
MsgID.LOCAL_VELOCITY,35.0380000,0.0000128,-0.0000011,0.0000084
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924804,-0.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.2880000,0.0322351,0.3275061,0.0523605
MsgID.LOCAL_VELOCITY,35.2880000,0.0000213,0.0000107,0.0000134
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924807,-0.0520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,35.5380000,0.0422677,0.1823508,0.0047352
MsgID.LOCAL_VELOCITY,35.5380000,-0.0009187,-0.0004420,-1.0468897
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924808,-0.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.0500000
MsgID.LOCAL_POSITION,35.7880000,0.1285899,0.2681196,-0.5275924
MsgID.LOCAL_VELOCITY,35.7880000,-0.0064630,0.0078178,-2.8678904
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924816,0.5270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.8600000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,36.0380000,0.0902936,0.3390712,-1.3458081
MsgID.LOCAL_VELOCITY,36.0380000,-0.0162900,0.0077876,-3.4448864
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924812,1.3450000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-3.4400000
MsgID.LOCAL_POSITION,36.2880000,-0.0420975,0.2880211,-2.2878613
MsgID.LOCAL_VELOCITY,36.2880000,-0.0173134,-0.0015226,-3.6093154
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924800,2.2870000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-3.6000000
MsgID.LOCAL_POSITION,36.5380000,-0.0629229,0.2099845,-3.2338057
MsgID.LOCAL_VELOCITY,36.5380000,0.0014965,-0.0028336,-3.6074023
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924799,3.2330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.6000000
MsgID.LOCAL_POSITION,36.7880000,-0.0662973,0.1358296,-4.2092485
MsgID.LOCAL_VELOCITY,36.7880000,0.0179322,0.0062853,-3.6226676
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924798,4.2090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-3.6200000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,37.0380000,-0.0881589,0.1674278,-5.0691190
MsgID.LOCAL_VELOCITY,37.0380000,0.0197061,0.0124489,-2.3534272
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924796,5.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0100000,-2.3400000
MsgID.LOCAL_POSITION,37.2880000,0.0638430,0.3882718,-5.3708096
MsgID.LOCAL_VELOCITY,37.2880000,0.0184913,0.0116815,0.2103671
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924810,5.3700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0100000,0.2100000
MsgID.LOCAL_POSITION,37.5380000,0.0681887,0.3070947,-5.0498943
MsgID.LOCAL_VELOCITY,37.5380000,0.1260615,-0.1218186,2.1331105
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924810,5.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.1200000,-0.1200000,2.1300000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7924824,4.6820000
MsgID.LOCAL_VELOCITY,0.0000000,1.7000000,-1.6500000,0.5000000
MsgID.LOCAL_POSITION,37.7880000,0.2234667,-0.0476061,-4.6823626
MsgID.LOCAL_VELOCITY,37.7880000,1.7055258,-1.6560971,0.5049242
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974587,37.7924871,4.7270000
MsgID.LOCAL_VELOCITY,0.0000000,3.0500000,-3.0900000,-1.0500000
MsgID.LOCAL_POSITION,38.0380000,0.7443688,-0.4859473,-4.7277894
MsgID.LOCAL_VELOCITY,38.0380000,3.0532053,-3.0991795,-1.0589336
MsgID.GLOBAL_POSITION,0.0000000,-122.3974689,37.7924934,4.9330000
MsgID.LOCAL_VELOCITY,0.0000000,3.5300000,-3.6500000,-0.4700000
MsgID.LOCAL_POSITION,38.2880000,1.4433728,-1.3867384,-4.9332161
MsgID.LOCAL_VELOCITY,38.2880000,3.5367517,-3.6503851,-0.4706244
MsgID.GLOBAL_POSITION,0.0000000,-122.3974792,37.7925023,4.9010000
MsgID.LOCAL_VELOCITY,0.0000000,3.9900000,-4.1200000,0.1400000
MsgID.LOCAL_POSITION,38.5380000,2.4299507,-2.3072248,-4.9011936
MsgID.LOCAL_VELOCITY,38.5380000,3.9969373,-4.1297135,0.1499192
MsgID.GLOBAL_POSITION,0.0000000,-122.3974920,37.7925120,4.8570000
MsgID.LOCAL_VELOCITY,0.0000000,4.7800000,-4.9300000,-0.2300000
MsgID.LOCAL_POSITION,38.7880000,3.5141001,-3.4469979,-4.8577280
MsgID.LOCAL_VELOCITY,38.7880000,4.7885118,-4.9370475,-0.2313237
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3975055,37.7925248,4.8850000
MsgID.LOCAL_VELOCITY,0.0000000,5.4300000,-5.5800000,-0.3000000
MsgID.LOCAL_POSITION,39.0380000,4.9365883,-4.6414170,-4.8854632
MsgID.LOCAL_VELOCITY,39.0380000,5.4357867,-5.5886197,-0.3038560
MsgID.GLOBAL_POSITION,0.0000000,-122.3975232,37.7925385,4.9060000
MsgID.LOCAL_VELOCITY,0.0000000,5.8400000,-5.9800000,-0.0900000
MsgID.LOCAL_POSITION,39.2880000,6.4529953,-6.2142587,-4.9060993
MsgID.LOCAL_VELOCITY,39.2880000,5.8415179,-5.9828644,-0.0975009
MsgID.GLOBAL_POSITION,0.0000000,-122.3975411,37.7925500,4.8960000
MsgID.LOCAL_VELOCITY,0.0000000,6.0300000,-6.1700000,0.0000000
MsgID.LOCAL_POSITION,39.5390000,7.7315879,-7.8079410,-4.8967686
MsgID.LOCAL_VELOCITY,39.5390000,6.0380087,-6.1734562,-0.0006115
MsgID.GLOBAL_POSITION,0.0000000,-122.3975584,37.7925644,4.9030000
MsgID.LOCAL_VELOCITY,0.0000000,6.1600000,-6.2400000,-0.0400000
MsgID.LOCAL_POSITION,39.7890000,9.3261204,-9.3455544,-4.9036164
MsgID.LOCAL_VELOCITY,39.7890000,6.1697459,-6.2450781,-0.0405326
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
